OBJECTID,LONGITUDE,LATITUDE,ADDRESS,NAME,MORNING,NOON,NIGHT,TIPS,TYPE,PHOTO
16,4.852742283,52.37349982,"Jan van Galenstraat, Amsterdam, Nederland",Erasmuspark,1,1,1,"A park located in the center of Amsterdam, that provides a peaceful and quiet atmosphere for visitors to relax and enjoy nature.",outdoor,https://upload.wikimedia.org/wikipedia/commons/8/89/Erasmuspark7.jpg
21,4.894791038,52.37480204,"Damrak 66, 1012 LM Amsterdam, Nederland",BODY WORLDS Amsterdam,1,1,1,"An exhibition that features real human bodies and body parts, preserved through a process called plastination, to educate visitors about anatomy, health, and disease.",indoor,https://cdn.getyourguide.com/img/tour/5ed0c4e891ebe.jpeg/146.jpg
22,4.897241843,52.37215012,"Oudezijds Achterburgwal 130, 1012 DT Amsterdam, Nederland",Hemp Gallery,1,1,1,"A gallery that showcases the history and culture of hemp, with a collection of hemp-related artifacts, interactive exhibits, and educational programs.",indoor,https://hashmuseum.com/wp-content/uploads/Hemp-Gallery-2021-mariacavali19-1920x1280.jpg
26,4.891038456,52.37316712,"Nieuwezijds Voorburgwal 147, 1012 RJ Amsterdam, Nederland",Paleis op de Dam,0,1,1,"The Royal Palace of Amsterdam, a grand building that serves as the official residence of the Dutch royal family and is open to visitors.",outdoor,https://upload.wikimedia.org/wikipedia/commons/3/3e/Amsterdam_Royal_Palace_7299.jpg
28,4.896864408,52.36626534,"1017 CT Amsterdam, Nederland",Remrandtplein,1,1,1,"A square that is named after the famous Dutch painter Rembrandt, and is a popular spot for nightlife, dining, and entertainment.",outdoor,https://upload.wikimedia.org/wikipedia/commons/d/d7/NieuwRembrandtplein.JPG
29,4.905631354,52.37201063,"Oudeschans 2, 1011 KX Amsterdam, Nederland",Montelbaanstoren,1,1,1,A 16th-century tower that is located on the banks of the River Amstel and offers panoramic views of the city.,outdoor,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/47/11/73/2nd.jpg?w=1200&h=1200&s=1
30,4.9028,52.3517,"Stadhouderskade 78, 1072 AE Amsterdam, Netherlands",Heineken Experience,1,1,1,A brewery tour and interactive exhibition that explores the history and brewing process of the Heineken beer brand.,indoor,https://cdn.getyourguide.com/img/tour/b10d5d4a331d1abc.jpeg/97.jpg
31,4.8908,52.3732,"Dam, 1012 NP Amsterdam, Netherlands",Dam Square,1,1,1,"A historic city square that serves as a central gathering place and tourist destination, featuring monuments, shopping, and street performers.",outdoor,https://www.holland.com/upload_mm/a/d/2/75359_fullimage_de%20dam%20amsterdam%20shutterstock_1461146753%20alena%20bahdanovich%20via%20shutterstock.jpg
35,4.8788,52.3583,"Museumplein 10, 1071 DJ Amsterdam, Netherlands",Stedelijk Museum,1,1,1,"A museum of modern and contemporary art that features works by artists like Vincent van Gogh, Jackson Pollock and Salvador Dalí",indoor,https://upload.wikimedia.org/wikipedia/commons/6/61/De_nieuwe_vleugel_van_het_Stedelijk_Museum_Amsterdam.jpg
36,4.9063,52.3657,"Waterlooplein 22, 1011 PG Amsterdam, Netherlands",The Stopera,1,1,1,"The Municipal Theatre & City Hall, a cultural center that houses two of Amsterdam's main performance venues, the Stadsschouwburg and the Muziektheater.",indoor,https://upload.wikimedia.org/wikipedia/commons/6/60/Stopera.jpg
37,4.9012,52.3789,"Oosterdok 2, 1011 VX Amsterdam, Netherlands",NEMO Science Museum ,0,1,1,A hands-on science museum that aims to make science and technology accessible and fun for visitors of all ages.,indoor,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTR8JtiN4r-NzTwsZH0C72oNC7lLphOrGWgzM1oY-mzcIuRNDvGX3EYQ1kpIElMOzXGQEI&usqp=CAU
38,4.894,52.3728,"Begijnhof 47, 1012 WC Amsterdam, Netherlands",The Begijnhof ,1,1,1,"A secluded courtyard that was once home to a Catholic sisterhood, now it's a peaceful oasis in the heart of the city that features a chapel and several historic houses.",outdoor,https://upload.wikimedia.org/wikipedia/commons/7/7d/BegijnhofAmsterdamPanorama.jpg
41,4.8934,52.3668,"Singel, 1012 DH Amsterdam, Netherlands",The Flower Market ,1,1,1,"An outdoor market that specializes in flowers, bulbs, and other horticultural products, as well as souvenirs and other items.",outdoor,https://www.eatingeurope.com/wp-content/uploads/2018/08/campodefiori-rome-food.jpg
42,4.9061,52.3625,"Amstel 3, 1011 PN Amsterdam, Netherlands",The Dutch National Opera & Ballet ,1,1,1,"A national theater and opera house that features performances of traditional and contemporary works, as well as ballet and other dance performances.",indoor,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgj0Yu3rsAlhrpIFhydL8-lp2fSaA5xUEp8uavmKesxocAiM0RISlhI1wrk8KML3lMcDQ&usqp=CAU
44,4.8942,52.3701,"Oudezijds Achterburgwal 148, 1012 DW Amsterdam, Netherlands",The Amsterdam Pipe Museum,0,1,1,"A museum that explores the history and culture of smoking pipes and pipe-making, with a collection of pipes from around the world.",indoor,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyCXq9voCcSt8DyAqCnOsoffuZ-E4U-taCR9Ez5halfzgoBYbOLJu-UsE96XH8tdTjICs&usqp=CAU
45,4.8767,52.3651,"Keizersgracht 609, 1017 DS Amsterdam, Netherlands",The Foam Fotografiemuseum Amsterdam,1,0,1,"A photography museum that showcases contemporary and historical photography, as well as hosting temporary exhibitions.",indoor,https://d7hftxdivxxvm.cloudfront.net/?height=320&quality=80&resize_to=fill&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F-TrFl4qz61old9BJ0ZTMXA%2Fwide.jpg&width=767
47,4.8995,52.3673,various locations throughout the city,The Jewish Cultural Quarter,0,1,1,"A museum that explores the history and culture of tulips, with a collection of tulip-related artifacts and interactive exhibits.",outdoor,https://www.tcataxi.nl/wp-content/uploads/2019/06/final_S_DSC1792-1.jpg
49,4.8965,52.3655,"Westerstraat 106, 1015 MN Amsterdam, Netherlands",The Pianola Museum,1,1,1,"A museum that explores the history and technology of the pianola, a type of player piano, with a collection of pianolas, rolls and other related items.",indoor,https://www.pianola.nl/Pianola_Museum/Welcome_files/SalonPM.jpg
50,4.8669,52.3865,"Spaarndammerplantsoen 140, 1013 XT Amsterdam, Netherlands",The Museum Het Schip,1,1,1,"A museum that explores the history and architecture of the Amsterdam School, a Dutch architectural style from the early 20th century.",indoor,https://www.hetschip.nl/images/headers/Het-Schip_Marcel-Westhoff_MWFF9004C_1920.jpg
,,,,,,,,,,
,,,,,,,,,,
